id,race,gender,age,Age Group
0,Unknown,Male,70,61-70
1,White,Female,71,71-80
2,White,Female,57,51-60
3,White,Male,74,71-80
4,White,Female,50,40-50
5,Black,Male,73,71-80
6,White,Female,60,51-60
7,Asian,Female,62,61-70
8,White,Female,68,61-70
9,White,Female,80,71-80
10,White,Male,66,61-70
11,White,Female,71,71-80
12,White,Female,80,71-80
13,White,Female,67,61-70
14,White,Female,81,81 and Above
15,White,Male,84,81 and Above
16,White,Female,80,71-80
17,Black,Female,79,71-80
18,White,Female,67,61-70
19,White,Male,64,61-70
20,Hispanic,Female,76,71-80
21,White,Female,64,61-70
22,White,Male,70,61-70
23,White,Female,66,61-70
24,White,Male,73,71-80
25,White,Female,63,61-70
26,White,Female,46,40-50
27,White,Male,78,71-80
28,White,Male,81,81 and Above
29,Hispanic,Female,73,71-80
30,Unknown,Female,84,81 and Above
31,White,Female,64,61-70
32,Black,Male,71,71-80
33,White,Female,80,71-80
34,White,Female,85,81 and Above
35,White,Female,74,71-80
36,White,Male,75,71-80
37,White,Female,74,71-80
38,Asian,Female,59,51-60
39,Black,Male,58,51-60
40,White,Female,55,51-60
41,White,Female,71,71-80
42,White,Male,74,71-80
43,White,Female,69,61-70
44,White,Female,76,71-80
45,Asian,Female,70,61-70
46,Black,Female,55,51-60
47,White,Male,76,71-80
48,White,Female,77,71-80
49,White,Male,66,61-70
50,White,Male,73,71-80
51,Black,Female,79,71-80
52,White,Female,60,51-60
53,White,Male,79,71-80
54,White,Male,80,71-80
55,White,Male,46,40-50
56,White,Female,69,61-70
57,White,Male,67,61-70
58,White,Male,79,71-80
59,White,Male,59,51-60
60,White,Male,73,71-80
61,Unknown,Female,62,61-70
62,White,Male,82,81 and Above
63,White,Female,57,51-60
64,White,Male,82,81 and Above
65,White,Female,54,51-60
66,White,Male,79,71-80
67,White,Female,72,71-80
68,White,Female,50,40-50
69,Unknown,Female,78,71-80
70,White,Male,79,71-80
71,White,Female,84,81 and Above
72,White,Male,81,81 and Above
73,White,Female,61,61-70
74,Asian,Female,68,61-70
75,White,Female,84,81 and Above
76,Hispanic,Female,71,71-80
77,Unknown,Female,81,81 and Above
